date_id,date_iso_format,year_number,quarter_number,month_number,day_number,month_name,day_name,week_of_the_year,week_of_the_month
20130803,2013-08-03,2013,3,8,3,August,Saturday,30,1
20130804,2013-08-04,2013,3,8,4,August,Sunday,31,1
20130805,2013-08-05,2013,3,8,5,August,Monday,31,1
20130806,2013-08-06,2013,3,8,6,August,Tuesday,31,1
20130807,2013-08-07,2013,3,8,7,August,Wednesday,31,1
20130808,2013-08-08,2013,3,8,8,August,Thursday,31,2
20130809,2013-08-09,2013,3,8,9,August,Friday,31,2
20130810,2013-08-10,2013,3,8,10,August,Saturday,31,2
20130811,2013-08-11,2013,3,8,11,August,Sunday,32,2
20130812,2013-08-12,2013,3,8,12,August,Monday,32,2
20130813,2013-08-13,2013,3,8,13,August,Tuesday,32,2
20130814,2013-08-14,2013,3,8,14,August,Wednesday,32,2
20130815,2013-08-15,2013,3,8,15,August,Thursday,32,3
20130816,2013-08-16,2013,3,8,16,August,Friday,32,3
20130817,2013-08-17,2013,3,8,17,August,Saturday,32,3
20130818,2013-08-18,2013,3,8,18,August,Sunday,33,3
20130819,2013-08-19,2013,3,8,19,August,Monday,33,3
20130820,2013-08-20,2013,3,8,20,August,Tuesday,33,3
20130821,2013-08-21,2013,3,8,21,August,Wednesday,33,3
20130822,2013-08-22,2013,3,8,22,August,Thursday,33,4
20130823,2013-08-23,2013,3,8,23,August,Friday,33,4
20130824,2013-08-24,2013,3,8,24,August,Saturday,33,4
20130825,2013-08-25,2013,3,8,25,August,Sunday,34,4
20130826,2013-08-26,2013,3,8,26,August,Monday,34,4
20130827,2013-08-27,2013,3,8,27,August,Tuesday,34,4
20130828,2013-08-28,2013,3,8,28,August,Wednesday,34,4
20130829,2013-08-29,2013,3,8,29,August,Thursday,34,5
20130830,2013-08-30,2013,3,8,30,August,Friday,34,5
20130831,2013-08-31,2013,3,8,31,August,Saturday,34,5
20130901,2013-09-01,2013,3,9,1,September,Sunday,35,1
20130902,2013-09-02,2013,3,9,2,September,Monday,35,1
20130903,2013-09-03,2013,3,9,3,September,Tuesday,35,1
20130904,2013-09-04,2013,3,9,4,September,Wednesday,35,1
20130905,2013-09-05,2013,3,9,5,September,Thursday,35,1
20130906,2013-09-06,2013,3,9,6,September,Friday,35,1
20130907,2013-09-07,2013,3,9,7,September,Saturday,35,1
